"year","variable","value"
2006,"Success",61.2403100775194
2007,"Success",64.0176600441501
2008,"Success",57.5197889182058
2009,"Success",57.0593962999026
2010,"Success",46.1099796334012
2006,"Died",13.953488372093
2007,"Died",10.8167770419426
2008,"Died",11.7414248021108
2009,"Died",9.73709834469328
2010,"Died",10.142566191446
2006,"Failed",3.10077519379845
2007,"Failed",3.09050772626932
2008,"Failed",1.84696569920844
2009,"Failed",8.37390457643622
2010,"Failed",9.36863543788187
2006,"Defaulted",8.52713178294574
2007,"Defaulted",16.1147902869757
2008,"Defaulted",19.1292875989446
2009,"Defaulted",17.332035053554
2010,"Defaulted",16.7820773930754
2006,"Not evaluated",13.1782945736434
2007,"Not evaluated",5.96026490066225
2008,"Not evaluated",9.76253298153034
2009,"Not evaluated",7.49756572541383
2010,"Not evaluated",17.5967413441955
