"area","year","variable","value"
"WPR",2006,"Success",61.2403100775194
"WPR",2007,"Success",64.0176600441501
"WPR",2008,"Success",57.5197889182058
"WPR",2009,"Success",57.0593962999026
"WPR",2010,"Success",46.1099796334012
"WPR",2011,"Success",0
"Cambodia",2006,"Success",NA
"Cambodia",2007,"Success",69.2307692307692
"Cambodia",2008,"Success",68.2926829268293
"Cambodia",2009,"Success",78.2608695652174
"Cambodia",2010,"Success",67.741935483871
"Cambodia",2011,"Success",0
"China",2006,"Success",NA
"China",2007,"Success",NA
"China",2008,"Success",46.1538461538462
"China",2009,"Success",46.1538461538462
"China",2010,"Success",41.8166939443535
"China",2011,"Success",0
"Japan",2006,"Success",NA
"Japan",2007,"Success",NA
"Japan",2008,"Success",NA
"Japan",2009,"Success",NA
"Japan",2010,"Success",NA
"Japan",2011,"Success",NA
"Malaysia",2006,"Success",NA
"Malaysia",2007,"Success",47.5
"Malaysia",2008,"Success",58.9285714285714
"Malaysia",2009,"Success",47.2727272727273
"Malaysia",2010,"Success",31.25
"Malaysia",2011,"Success",0
"Mongolia",2006,"Success",66
"Mongolia",2007,"Success",78.125
"Mongolia",2008,"Success",76.9230769230769
"Mongolia",2009,"Success",73.8636363636364
"Mongolia",2010,"Success",74.3589743589744
"Mongolia",2011,"Success",0
"Papua New Guinea",2006,"Success",10
"Papua New Guinea",2007,"Success",NA
"Papua New Guinea",2008,"Success",NA
"Papua New Guinea",2009,"Success",NA
"Papua New Guinea",2010,"Success",38.8888888888889
"Papua New Guinea",2011,"Success",0
"Philippines",2006,"Success",NA
"Philippines",2007,"Success",63.1756756756757
"Philippines",2008,"Success",53.4615384615385
"Philippines",2009,"Success",53.8071065989848
"Philippines",2010,"Success",41.6347381864623
"Philippines",2011,"Success",0
"Republic of Korea",2006,"Success",NA
"Republic of Korea",2007,"Success",NA
"Republic of Korea",2008,"Success",NA
"Republic of Korea",2009,"Success",NA
"Republic of Korea",2010,"Success",NA
"Republic of Korea",2011,"Success",0
"Viet Nam",2006,"Success",NA
"Viet Nam",2007,"Success",NA
"Viet Nam",2008,"Success",NA
"Viet Nam",2009,"Success",73.2673267326733
"Viet Nam",2010,"Success",78.3505154639175
"Viet Nam",2011,"Success",0
"Other countries",2006,"Success",65.2173913043478
"Other countries",2007,"Success",62.5
"Other countries",2008,"Success",65.0793650793651
"Other countries",2009,"Success",63.855421686747
"Other countries",2010,"Success",65.4761904761905
"Other countries",2011,"Success",0
"WPR",2006,"Died",13.953488372093
"WPR",2007,"Died",10.8167770419426
"WPR",2008,"Died",11.7414248021108
"WPR",2009,"Died",9.73709834469328
"WPR",2010,"Died",10.142566191446
"WPR",2011,"Died",9.74516281264748
"Cambodia",2006,"Died",NA
"Cambodia",2007,"Died",15.3846153846154
"Cambodia",2008,"Died",14.6341463414634
"Cambodia",2009,"Died",17.3913043478261
"Cambodia",2010,"Died",29.0322580645161
"Cambodia",2011,"Died",7.14285714285714
"China",2006,"Died",NA
"China",2007,"Died",NA
"China",2008,"Died",0
"China",2009,"Died",8.46153846153846
"China",2010,"Died",7.28314238952537
"China",2011,"Died",8.41121495327103
"Japan",2006,"Died",NA
"Japan",2007,"Died",NA
"Japan",2008,"Died",NA
"Japan",2009,"Died",NA
"Japan",2010,"Died",NA
"Japan",2011,"Died",NA
"Malaysia",2006,"Died",NA
"Malaysia",2007,"Died",15
