"area","year","variable","value"
"WPR",2006,"e_mdr_num",0
"WPR",2007,"e_mdr_num",0
"WPR",2008,"e_mdr_num",0
"WPR",2009,"e_mdr_num",0
"WPR",2010,"e_mdr_num",0
"WPR",2011,"e_mdr_num",0
"WPR",2012,"e_mdr_num",79281
"Cambodia",2006,"e_mdr_num",0
"Cambodia",2007,"e_mdr_num",0
"Cambodia",2008,"e_mdr_num",0
"Cambodia",2009,"e_mdr_num",0
"Cambodia",2010,"e_mdr_num",0
"Cambodia",2011,"e_mdr_num",0
"Cambodia",2012,"e_mdr_num",380
"China",2006,"e_mdr_num",0
"China",2007,"e_mdr_num",0
"China",2008,"e_mdr_num",0
"China",2009,"e_mdr_num",0
"China",2010,"e_mdr_num",0
"China",2011,"e_mdr_num",0
"China",2012,"e_mdr_num",59000
"Lao People’s 
Democratic Republic",2006,"e_mdr_num",0
"Lao People’s 
Democratic Republic",2007,"e_mdr_num",0
"Lao People’s 
Democratic Republic",2008,"e_mdr_num",0
"Lao People’s 
Democratic Republic",2009,"e_mdr_num",0
"Lao People’s 
Democratic Republic",2010,"e_mdr_num",0
"Lao People’s 
Democratic Republic",2011,"e_mdr_num",0
"Lao People’s 
Democratic Republic",2012,"e_mdr_num",220
"Mongolia",2006,"e_mdr_num",0
"Mongolia",2007,"e_mdr_num",0
"Mongolia",2008,"e_mdr_num",0
"Mongolia",2009,"e_mdr_num",0
"Mongolia",2010,"e_mdr_num",0
"Mongolia",2011,"e_mdr_num",0
"Mongolia",2012,"e_mdr_num",170
"Papua New Guinea",2006,"e_mdr_num",0
"Papua New Guinea",2007,"e_mdr_num",0
"Papua New Guinea",2008,"e_mdr_num",0
"Papua New Guinea",2009,"e_mdr_num",0
"Papua New Guinea",2010,"e_mdr_num",0
"Papua New Guinea",2011,"e_mdr_num",0
"Papua New Guinea",2012,"e_mdr_num",1100
"Philippines",2006,"e_mdr_num",0
"Philippines",2007,"e_mdr_num",0
"Philippines",2008,"e_mdr_num",0
"Philippines",2009,"e_mdr_num",0
"Philippines",2010,"e_mdr_num",0
"Philippines",2011,"e_mdr_num",0
"Philippines",2012,"e_mdr_num",12000
"Viet Nam",2006,"e_mdr_num",0
"Viet Nam",2007,"e_mdr_num",0
"Viet Nam",2008,"e_mdr_num",0
"Viet Nam",2009,"e_mdr_num",0
"Viet Nam",2010,"e_mdr_num",0
"Viet Nam",2011,"e_mdr_num",0
"Viet Nam",2012,"e_mdr_num",3800
"Other countries",2006,"e_mdr_num",0
"Other countries",2007,"e_mdr_num",0
"Other countries",2008,"e_mdr_num",0
"Other countries",2009,"e_mdr_num",0
"Other countries",2010,"e_mdr_num",0
"Other countries",2011,"e_mdr_num",0
"Other countries",2012,"e_mdr_num",2611
"WPR",2006,"e_mdr_num_lo",0
"WPR",2007,"e_mdr_num_lo",0
"WPR",2008,"e_mdr_num_lo",0
"WPR",2009,"e_mdr_num_lo",0
"WPR",2010,"e_mdr_num_lo",0
"WPR",2011,"e_mdr_num_lo",0
"WPR",2012,"e_mdr_num_lo",67810
"Cambodia",2006,"e_mdr_num_lo",0
"Cambodia",2007,"e_mdr_num_lo",0
"Cambodia",2008,"e_mdr_num_lo",0
"Cambodia",2009,"e_mdr_num_lo",0
"Cambodia",2010,"e_mdr_num_lo",0
"Cambodia",2011,"e_mdr_num_lo",0
"Cambodia",2012,"e_mdr_num_lo",190
"China",2006,"e_mdr_num_lo",0
"China",2007,"e_mdr_num_lo",0
"China",2008,"e_mdr_num_lo",0
"China",2009,"e_mdr_num_lo",0
"China",2010,"e_mdr_num_lo",0
"China",2011,"e_mdr_num_lo",0
"China",2012,"e_mdr_num_lo",52000
"Lao People’s 
Democratic Republic",2006,"e_mdr_num_lo",0
"Lao People’s 
Democratic Republic",2007,"e_mdr_num_lo",0
"Lao People’s 
Democratic Republic",2008,"e_mdr_num_lo",0
"Lao People’s 
Democratic Republic",2009,"e_mdr_num_lo",0
"Lao People’s 
Democratic Republic",2010,"e_mdr_num_lo",0
"Lao People’s 
Democratic Republic",2011,"e_mdr_num_lo",0
"Lao People’s 
Democratic Republic",2012,"e_mdr_num_lo",180
"Mongolia",2006,"e_mdr_num_lo",0
"Mongolia",2007,"e_mdr_num_lo",0
"Mongolia",2008,"e_mdr_num_lo",0
"Mongolia",2009,"e_mdr_num_lo",0
"Mongolia",2010,"e_mdr_num_lo",0
"Mongolia",2011,"e_mdr_num_lo",0
"Mongolia",2012,"e_mdr_num_lo",140
"Papua New Guinea",2006,"e_mdr_num_lo",0
"Papua New Guinea",2007,"e_mdr_num_lo",0
"Papua New Guinea",2008,"e_mdr_num_lo",0
"Papua New Guinea",2009,"e_mdr_num_lo",0
"Papua New Guinea",2010,"e_mdr_num_lo",0
"Papua New Guinea",2011,"e_mdr_num_lo",0
"Papua New Guinea",2012,"e_mdr_num_lo",930
"Philippines",2006,"e_mdr_num_lo",0
"Philippines",2007,"e_mdr_num_lo",0
"Philippines",2008,"e_mdr_num_lo",0
"Philippines",2009,"e_mdr_num_lo",0
"Philippines",2010,"e_mdr_num_lo",0
"Philippines",2011,"e_mdr_num_lo",0
"Philippines",2012,"e_mdr_num_lo",9300
"Viet Nam",2006,"e_mdr_num_lo",0
"Viet Nam",2007,"e_mdr_num_lo",0
"Viet Nam",2008,"e_mdr_num_lo",0
"Viet Nam",2009,"e_mdr_num_lo",0
"Viet Nam",2010,"e_mdr_num_lo",0
"Viet Nam",2011,"e_mdr_num_lo",0
"Viet Nam",2012,"e_mdr_num_lo",3000
"Other countries",2006,"e_mdr_num_lo",0
"Other countries",2007,"e_mdr_num_lo",0
"Other countries",2008,"e_mdr_num_lo",0
"Other countries",2009,"e_mdr_num_lo",0
"Other countries",2010,"e_mdr_num_lo",0
"Other countries",2011,"e_mdr_num_lo",0
"Other countries",2012,"e_mdr_num_lo",2070
"WPR",2006,"e_mdr_num_hi",0
"WPR",2007,"e_mdr_num_hi",0
"WPR",2008,"e_mdr_num_hi",0
"WPR",2009,"e_mdr_num_hi",0
"WPR",2010,"e_mdr_num_hi",0
"WPR",2011,"e_mdr_num_hi",0
"WPR",2012,"e_mdr_num_hi",91217
"Cambodia",2006,"e_mdr_num_hi",0
"Cambodia",2007,"e_mdr_num_hi",0
"Cambodia",2008,"e_mdr_num_hi",0
"Cambodia",2009,"e_mdr_num_hi",0
"Cambodia",2010,"e_mdr_num_hi",0
"Cambodia",2011,"e_mdr_num_hi",0
"Cambodia",2012,"e_mdr_num_hi",580
"China",2006,"e_mdr_num_hi",0
"China",2007,"e_mdr_num_hi",0
"China",2008,"e_mdr_num_hi",0
"China",2009,"e_mdr_num_hi",0
"China",2010,"e_mdr_num_hi",0
"China",2011,"e_mdr_num_hi",0
"China",2012,"e_mdr_num_hi",66000
"Lao People’s 
Democratic Republic",2006,"e_mdr_num_hi",0
"Lao People’s 
Democratic Republic",2007,"e_mdr_num_hi",0
"Lao People’s 
Democratic Republic",2008,"e_mdr_num_hi",0
"Lao People’s 
Democratic Republic",2009,"e_mdr_num_hi",0
"Lao People’s 
Democratic Republic",2010,"e_mdr_num_hi",0
"Lao People’s 
Democratic Republic",2011,"e_mdr_num_hi",0
"Lao People’s 
Democratic Republic",2012,"e_mdr_num_hi",260
"Mongolia",2006,"e_mdr_num_hi",0
"Mongolia",2007,"e_mdr_num_hi",0
"Mongolia",2008,"e_mdr_num_hi",0
"Mongolia",2009,"e_mdr_num_hi",0
"Mongolia",2010,"e_mdr_num_hi",0
"Mongolia",2011,"e_mdr_num_hi",0
"Mongolia",2012,"e_mdr_num_hi",190
"Papua New Guinea",2006,"e_mdr_num_hi",0
"Papua New Guinea",2007,"e_mdr_num_hi",0
"Papua New Guinea",2008,"e_mdr_num_hi",0
"Papua New Guinea",2009,"e_mdr_num_hi",0
"Papua New Guinea",2010,"e_mdr_num_hi",0
"Papua New Guinea",2011,"e_mdr_num_hi",0
