"iso3","coverage","year"
"AUS","Nationwide",2013
"BRN","Nationwide",2013
"KHM","Nationwide",2007
"CHN","Nationwide",2014
"HKG","Nationwide",2012
"MAC","Nationwide",2013
"COK","Nationwide",2013
"FJI","Nationwide",2006
"PYF","Nationwide",2013
"GUM","Nationwide",2012
"JPN","Nationwide",2002
"MYS","Subnational",1997
"MHL","Nationwide",2013
"MNG","Nationwide",2007
"NCL","Nationwide",2012
"NZL","Nationwide",2012
"MNP","Nationwide",2012
"PLW","Nationwide",2013
"PNG","Subnational",2014
"PHL","Nationwide",2012
"KOR","Nationwide",2004
"WSM","Nationwide",2013
"SGP","Nationwide",2013
"SLB","Nationwide",2004
"VUT","Nationwide",2006
"VNM","Nationwide",2012
