"area","e_new_mdr_prop","e_new_mdr_prop_lo","e_new_mdr_prop_hi","e_ret_mdr_prop","e_ret_mdr_prop_lo","e_ret_mdr_prop_hi","country","dupe"
"Australia",0.0228070002049208,0.0121983997523785,0.0386849008500576,0.0416667014360428,0.0010543999960646,0.211201697587967,NA,FALSE
"China",0.0570000000298023,0.0450000017881393,0.0700000002980232,0.256000012159348,0.215000003576279,0.298000007867813,NA,FALSE
"China, Hong Kong SAR",0.00970400031656027,0.00593730015680194,0.0149475000798702,0.0258620996028185,0.00954880006611347,0.0554380007088184,NA,FALSE
"Japan",0.00702399993315339,0.00423410022631288,0.0109471995383501,0.0983213037252426,0.0714839994907379,0.131016299128532,NA,FALSE
"Cambodia",0.0140000004321337,0.00700000021606684,0.025000000372529,0.10700000077486,0.0399999991059303,0.218999996781349,NA,FALSE
"Republic of Korea",0.0270000007003546,0.0209999997168779,0.034000001847744,0.140000000596046,0.101999998092651,0.187000006437302,NA,FALSE
"China, Macao SAR",0.0204917993396521,0.00668630003929138,0.0471705012023449,0.115384601056576,0.0244580991566181,0.301540404558182,NA,FALSE
"Mongolia",0.0140000004321337,0.00700000021606684,0.025000000372529,0.335051506757736,0.288213104009628,0.384429514408112,NA,FALSE
"New Zealand",0.00904980022460222,0.0010978999780491,0.0323067009449005,0.166666701436043,0.0208624992519617,0.484137713909149,NA,FALSE
"Philippines",0.0199999995529652,0.0140000004321337,0.0270000007003546,0.212999999523163,0.155000001192093,0.287000000476837,NA,FALSE
"Singapore",0.00946069974452257,0.00454579992219806,0.0173295997083187,0.026315800845623,0.00320299994200468,0.0918494984507561,NA,FALSE
"Viet Nam",0.0399999991059303,0.025000000372529,0.0540000014007092,0.232999995350838,0.166999995708466,0.29899999499321,NA,FALSE
