"area","year","variable","value"
"Western Pacific Region
",2007,"Success",64.0176600441501
"Western Pacific Region
",2008,"Success",57.5197889182058
"Western Pacific Region
",2009,"Success",57.0593962999026
"Western Pacific Region
",2010,"Success",46.1099796334012
"Western Pacific Region
",2011,"Success",51.887682869278
"Australia",2008,"Success",72.7272727272727
"Australia",2009,"Success",71.4285714285714
"Australia",2010,"Success",55.8823529411765
"Australia",2011,"Success",42.3076923076923
"China",2008,"Success",46.1538461538462
"China",2009,"Success",46.1538461538462
"China",2010,"Success",41.8166939443535
"China",2011,"Success",49.9065420560748
"China, Hong Kong SAR",2007,"Success",61.5384615384615
"China, Hong Kong SAR",2008,"Success",61.5384615384615
"China, Hong Kong SAR",2009,"Success",52.9411764705882
"China, Hong Kong SAR",2010,"Success",66.6666666666667
"China, Hong Kong SAR",2011,"Success",60
"Cambodia",2007,"Success",69.2307692307692
"Cambodia",2008,"Success",68.2926829268293
"Cambodia",2009,"Success",78.2608695652174
"Cambodia",2010,"Success",67.741935483871
"Cambodia",2011,"Success",85.7142857142857
"Republic of Korea",2011,"Success",59.4627594627595
"Lao People's 
Democratic 
Republic",2011,"Success",66.6666666666667
"China, Macao SAR",2007,"Success",80
"China, Macao SAR",2008,"Success",66.6666666666667
"China, Macao SAR",2009,"Success",75
"China, Macao SAR",2010,"Success",83.3333333333333
"China, Macao SAR",2011,"Success",100
"Marshall Islands",2009,"Success",100
"Marshall Islands",2010,"Success",100
"Marshall Islands",2011,"Success",50
"Mongolia",2007,"Success",78.125
"Mongolia",2008,"Success",76.9230769230769
"Mongolia",2009,"Success",73.8636363636364
"Mongolia",2010,"Success",74.3589743589744
"Mongolia",2011,"Success",66.6666666666667
"Malaysia",2007,"Success",47.5
"Malaysia",2008,"Success",58.9285714285714
"Malaysia",2009,"Success",47.2727272727273
"Malaysia",2010,"Success",31.25
"Malaysia",2011,"Success",27.6595744680851
"New Zealand",2007,"Success",50
"New Zealand",2009,"Success",42.8571428571429
"New Zealand",2010,"Success",33.3333333333333
"New Zealand",2011,"Success",50
"Philippines",2007,"Success",63.1756756756757
