"e_new_mdr_num","e_new_mdr_num_range","e_new_mdr_pct","e_new_mdr_pct_range","e_ret_mdr_num","e_ret_mdr_num_range","e_ret_mdr_pct","e_ret_mdr_pct_range","e_mdr_num","e_mdr_num_range"
"16","(9&#8211;27)","2","(1&#8211;4)","1","(0&#8211;7)","4","(< 1&#8211;21)","17","(8&#8211;26)"
"1","(0&#8211;6)","< 1","(< 1&#8211;4)","0","(0&#8211;3)","0","(0&#8211;46)","1","(0&#8211;3)"
"320","(160&#8211;580)","1","(< 1&#8211;3)","180","(68&#8211;370)","11","(4&#8211;22)","510","(270&#8211;740)"
"45 000","(35 000&#8211;55 000)","6","(5&#8211;7)","9 200","(7 800&#8211;11 000)","26","(22&#8211;30)","54 000","(48 000&#8211;61 000)"
"34","(21&#8211;52)","< 1","(< 1&#8211;1)","9","(3&#8211;20)","3","(< 1&#8211;6)","43","(26&#8211;59)"
"7","(2&#8211;16)","2","(< 1&#8211;5)","4","(1&#8211;10)","12","(2&#8211;30)","11","(4&#8211;18)"
"0","(0&#8211;1)","0","(0&#8211;98)","0","(0&#8211;0)","0","(0&#8211;0)","0","(0&#8211;1)"
"110","(63&#8211;160)","< 1","(< 1&#8211;1)","100","(72&#8211;130)","10","(7&#8211;13)","200","(150&#8211;260)"
"160","(96&#8211;230)","5","(3&#8211;6)","65","(56&#8211;75)","24","(20&#8211;27)","220","(160&#8211;290)"
"19","(0&#8211;120)","< 1","(0&#8211;< 1)","0","(0&#8211;280)","0","(0&#8211;17)","19","(0&#8211;57)"
"2","(0&#8211;9)","1","(< 1&#8211;7)","0","(0&#8211;5)","0","(0&#8211;71)","2","(0&#8211;5)"
"33","(16&#8211;59)","1","(< 1&#8211;3)","210","(180&#8211;240)","34","(29&#8211;38)","240","(210&#8211;280)"
"1","(0&#8211;5)","< 1","(< 1&#8211;3)","2","(0&#8211;5)","17","(2&#8211;48)","3","(0&#8211;6)"
"0","(0&#8211;3)","0","(0&#8211;41)","0","(0&#8211;0)","0","(0&#8211;0)","0","(0&#8211;3)"
"560","(340&#8211;800)","5","(3&#8211;6)","570","(480&#8211;650)","24","(20&#8211;27)","1 100","(890&#8211;1 400)"
"4 400","(3 100&#8211;6 000)","2","(1&#8211;3)","4 100","(3 000&#8211;5 500)","21","(16&#8211;29)","8 500","(6 900&#8211;10 000)"
"780","(600&#8211;980)","3","(2&#8211;3)","1 200","(850&#8211;1 600)","14","(10&#8211;19)","1 900","(1 600&#8211;2 300)"
"17","(8&#8211;30)","< 1","(< 1&#8211;2)","3","(0&#8211;12)","3","(< 1&#8211;9)","20","(9&#8211;31)"
"3 000","(1 900&#8211;4 100)","4","(3&#8211;5)","2 100","(1 500&#8211;2 600)","23","(17&#8211;30)","5 100","(4 100&#8211;6 100)"
"53 000","(31 000&#8211;75 000)","4","(3&#8211;6)","18 000","(15 000&#8211;21 000)","22","(18&#8211;26)","71 000","(47 000&#8211;94 000)"
