"n","%","n","%","n","%","n","%","n","%","n","%","n","%","n","%","n","%"
"570","82","25","76","604","83","13","2","3","12","17","3","0","0","0","0","0","0"
"146","92","6","100","152","93","1","<&nbsp;1","0","0","1","<&nbsp;1","0","0","0","&#8211;","0","0"
"&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;"
"20&nbsp;080","3","7&nbsp;153","20","27&nbsp;233","3","1&nbsp;612","8","2&nbsp;571","36","4&nbsp;183","15","244","15","246","10","490","12"
"1&nbsp;919","55","198","56","2&nbsp;117","55","28","1","7","4","35","2","0","0","0","0","0","0"
"244","70","26","81","305","80","6","2","3","12","9","3","0","0","0","0","0","0"
"1","100","0","&#8211;","1","100","0","0","0","&#8211;","0","0","0","&#8211;","0","&#8211;","0","&#8211;"
"7&nbsp;266","49","435","43","7&nbsp;701","48","42","<&nbsp;1","22","5","64","<&nbsp;1","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;"
"11","<&nbsp;1","71","26","82","2","0","0","7","10","7","9","0","&#8211;","0","0","0","0"
"2&nbsp;702","14","181","11","11&nbsp;110","53","80","3","5","3","185","2","0","0","0","0","0","0"
"72","61","3","43","75","60","1","1","0","0","1","1","0","0","0","&#8211;","0","0"
"289","12","531","85","838","28","64","22","177","33","242","29","15","23","38","21","53","22"
"&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","1","&#8211;","1","&#8211;","2","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;"
"7","100","0","&#8211;","7","100","0","0","0","&#8211;","0","0","0","&#8211;","0","&#8211;","0","&#8211;"
"&#8211;","&#8211;","&#8211;","&#8211;","93","<&nbsp;1","&#8211;","&#8211;","&#8211;","&#8211;","46","49","&#8211;","&#8211;","&#8211;","&#8211;","33","72"
"25","<&nbsp;1","2&nbsp;631","14","2&nbsp;656","1","10","40","1&nbsp;349","51","1&nbsp;359","51","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;"
"1&nbsp;249","4","726","9","1&nbsp;975","5","466","37","518","71","984","50","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;"
"1&nbsp;070","61","85","66","1&nbsp;155","62","14","1","4","5","18","2","0","0","0","0","0","0"
"353","<&nbsp;1","3&nbsp;955","45","4&nbsp;531","5","40","11","997","25","1&nbsp;041","23","37","92","801","80","841","81"
"36&nbsp;004","3","16&nbsp;026","20","60&nbsp;635","5","2&nbsp;378","7","5&nbsp;664","35","8&nbsp;194","14","296","12","1&nbsp;085","19","1&nbsp;417","17"
"36&nbsp;103","3","16&nbsp;057","20","60&nbsp;765","5","2&nbsp;379","7","5&nbsp;664","35","8&nbsp;195","13","296","12","1&nbsp;085","19","1&nbsp;417","17"
