"e_new_mdr_num","e_new_mdr_num_range","e_ret_mdr_num","e_ret_mdr_num_range","e_mdr_num","e_mdr_num_range","mdrr.new","mdrr.ret","pmdr","pmdr_new_pct","pmdr_new_pct_range","pmdr_ret_pct","pmdr_ret_pct_range","pmdr_pct","pmdr_pct_range","mdr_tx","mdr_tx_pct"
16,"(8&#8211;27)",1,"(0&#8211;7)","17","(8&#8211;26)","13","3",24,"81","(48&#8211;144)","300","(43&#8211;NA)","141","(92&#8211;300)","22","92"
1,"(0&#8211;6)",0,"(0&#8211;3)","1","(0&#8211;3)","1","0",1,"100","(17&#8211;NA)","&#8211;","(0&#8211;NA)","100","(33&#8211;NA)","0","0"
320,"(270&#8211;580)",180,"(68&#8211;370)","510","(270&#8211;740)","&#8211;","&#8211;",121,"&#8211;","(NA&#8211;NA)","&#8211;","(NA&#8211;NA)","24","(16&#8211;45)","121","100"
45000,"(48 000&#8211;55 000)",9200,"(7 800&#8211;11 000)","54 000","(48 000&#8211;61 000)","1612","2571",4183,"4","(3&#8211;5)","28","(23&#8211;33)","8","(7&#8211;9)","2184","52"
34,"(26&#8211;52)",9,"(3&#8211;20)","43","(26&#8211;59)","28","7",35,"82","(54&#8211;133)","78","(35&#8211;233)","81","(59&#8211;135)","22","63"
7,"(4&#8211;16)",4,"(1&#8211;10)","11","(4&#8211;18)","6","3",10,"86","(38&#8211;300)","75","(30&#8211;300)","91","(56&#8211;250)","8","80"
0,"(0&#8211;1)",0,"(0&#8211;0)","0","(0&#8211;1)","0","0",1,"&#8211;","(0&#8211;NA)","&#8211;","(NA&#8211;NA)","NA","(100&#8211;NA)","0","0"
110,"(150&#8211;160)",100,"(72&#8211;130)","200","(150&#8211;260)","42","22",64,"38","(26&#8211;67)","22","(17&#8211;31)","32","(25&#8211;43)","&#8211;","&#8211;"
160,"(160&#8211;230)",65,"(56&#8211;75)","220","(160&#8211;290)","0","7",7,"0","(0&#8211;0)","11","(9&#8211;12)","3","(2&#8211;4)","4","57"
19,"(0&#8211;120)",0,"(0&#8211;280)","19","(0&#8211;57)","80","5",277,"421","(67&#8211;NA)","NA","(2&#8211;NA)","1 458","(486&#8211;NA)","49","18"
2,"(0&#8211;9)",0,"(0&#8211;5)","2","(0&#8211;5)","1","0",1,"50","(11&#8211;NA)","&#8211;","(0&#8211;NA)","50","(20&#8211;NA)","1","100"
33,"(210&#8211;59)",210,"(180&#8211;240)","240","(210&#8211;280)","64","177",257,"194","(108&#8211;400)","84","(74&#8211;98)","107","(92&#8211;122)","192","75"
1,"(0&#8211;5)",2,"(0&#8211;5)","3","(0&#8211;6)","1","1",3,"100","(20&#8211;NA)","50","(20&#8211;NA)","100","(50&#8211;NA)","2","67"
0,"(0&#8211;3)",0,"(0&#8211;0)","0","(0&#8211;3)","0","0",1,"&#8211;","(0&#8211;NA)","&#8211;","(NA&#8211;NA)","NA","(33&#8211;NA)","0","0"
560,"(890&#8211;800)",570,"(480&#8211;650)","1 100","(890&#8211;1 400)","&#8211;","&#8211;",119,"&#8211;","(NA&#8211;NA)","&#8211;","(NA&#8211;NA)","11","(8&#8211;13)","145","122"
4400,"(6 900&#8211;6 000)",4100,"(3 000&#8211;5 500)","8 500","(6 900&#8211;10 000)","10","1349",3962,"< 1","(< 1&#8211;< 1)","33","(25&#8211;45)","47","(40&#8211;57)","2262","57"
780,"(1 600&#8211;980)",1200,"(850&#8211;1 600)","1 900","(1 600&#8211;2 300)","466","518",984,"60","(48&#8211;78)","43","(32&#8211;61)","52","(43&#8211;62)","951","97"
17,"(9&#8211;30)",3,"(0&#8211;12)","20","(9&#8211;31)","14","4",18,"82","(47&#8211;175)","133","(33&#8211;NA)","90","(58&#8211;200)","15","83"
3000,"(4 100&#8211;4 100)",2100,"(1 500&#8211;2 600)","5 100","(4 100&#8211;6 100)","40","997",1204,"1","(< 1&#8211;2)","47","(38&#8211;66)","24","(20&#8211;29)","948","79"
53000,"(47 000&#8211;75 000)",18000,"(15 000&#8211;21 000)","71 000","(47 000&#8211;94 000)","2379","5664",11273,"4","(3&#8211;8)","31","(27&#8211;38)","16","(12&#8211;24)","6926","61"
