"area","unconf_mdr_tx","conf_mdr_tx","mdr_dst_rlt","mdr_ds_fq2li","mdr_dr_fq","mdr_dr_2li","xdr","mdr_tx","xdst_pct","fq_pct","xli_pct","xdr_pct"
"Australia","1","21","12","9","2","1","0","22","55","17","8","0"
"Brunei Darussalam","0","0","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","0","&#8211;","&#8211;","&#8211;","&#8211;"
"Cambodia","9","112","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","121","&#8211;","&#8211;","&#8211;","&#8211;"
"China","&#8211;","2 184","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","2 184","&#8211;","&#8211;","&#8211;","&#8211;"
"China, Hong Kong SAR","0","22","26","22","2","3","1","22","118","8","12","4"
"China, Macao SAR","0","8","7","7","0","0","0","8","88","0","0","0"
"Cook Islands","0","0","0","0","0","0","0","0","&#8211;","&#8211;","&#8211;","&#8211;"
"Japan","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;"
"Lao People's 
Democratic 
Republic","0","4","4","3","1","0","0","4","100","25","0","0"
"Malaysia","0","49","113","94","12","2","1","49","231","11","2","< 1"
"Marshall Islands","0","1","&#8211;","&#8211;","&#8211;","&#8211;","&#8211;","1","&#8211;","&#8211;","&#8211;","&#8211;"
"Mongolia","23","169","113","87","6","15","5","192","59","5","13","4"
"New Zealand","&#8211;","2","2","2","0","0","0","2","100","0","0","0"
"Palau","0","0","0","0","0","0","0","0","&#8211;","&#8211;","&#8211;","&#8211;"
"Papua New Guinea","62","83","73","70","1","2","&#8211;","145","50","1","3","&#8211;"
"Philippines","1 647","615","927","842","59","38","5","2 262","41","6","4","< 1"
"Republic of Korea","0","951","838","653","158","112","85","951","88","19","13","10"
"Singapore","0","15","12","12","0","0","0","15","80","0","0","0"
"Viet Nam","741","207","199","156","29","23","10","948","21","15","12","5"
"Western Pacific Region
","2 483","4 443","2 326","1 957","270","196","107","6 926","34","12","8","5"
