"hiv_rrhivposvshivneg","sex_rrfvsm","age_rr014vs15plus"
"0","1.52","0"
"&#8211;","0","0"
"&#8211;","&#8211;","&#8211;"
"&#8211;","&#8211;","&#8211;"
"0","1.15","6.47"
"0","1.14","0"
"&#8211;","&#8211;","&#8211;"
"0","0.706","0"
"0","2.57","&#8211;"
"2.21","0.149","0"
"&#8211;","&#8211;","&#8211;"
"&#8211;","0.689","0.645"
"&#8211;","&#8211;","&#8211;"
"&#8211;","&#8211;","&#8211;"
"&#8211;","1","&#8211;"
"&#8211;","1.12","0.997"
"&#8211;","0.947","1.42"
"0","2.27","0"
"&#8211;","1.48","2.06"
"0.458","0.76","1.54"
"0.458","0.758","1.52"
