"mdr_new_pct","e_new_mdr_pct","e_new_mdr_pct_range","mdr_ret_pct","e_ret_mdr_pct","e_ret_mdr_pct_range","mdr","e_mdr_num","e_mdr_num_range","rapid_dx_dr_r","conf_mdr_tx","mdr_tx"
"1","2","(1&#8211;4)","2","4","(< 1&#8211;21)","23","17","(8&#8211;26)","1","21","22"
"< 1","< 1","(< 1&#8211;4)","0","0","(0&#8211;46)","1","1","(0&#8211;3)","0","0","0"
"&#8211;","1","(< 1&#8211;3)","&#8211;","11","(4&#8211;22)","9","510","(270&#8211;740)","112","112","121"
"< 1","6","(5&#8211;7)","5","26","(22&#8211;30)","2 966","54 000","(48 000&#8211;61 000)","490","2 184","2 184"
"< 1","< 1","(< 1&#8211;1)","2","3","(< 1&#8211;6)","26","43","(26&#8211;59)","0","22","22"
"1","2","(< 1&#8211;5)","9","12","(2&#8211;30)","9","11","(4&#8211;18)","0","8","8"
"0","0","(0&#8211;98)","&#8211;","0","(0&#8211;0)","1","0","(0&#8211;1)","0","0","0"
"< 1","< 1","(< 1&#8211;1)","1","10","(7&#8211;13)","47","200","(150&#8211;260)","&#8211;","&#8211;","&#8211;"
"0","5","(3&#8211;6)","1","24","(20&#8211;27)","4","220","(160&#8211;290)","0","4","4"
"< 1","< 1","(0&#8211;< 1)","< 1","0","(0&#8211;17)","124","19","(0&#8211;57)","0","49","49"
"< 1","1","(< 1&#8211;7)","0","0","(0&#8211;71)","1","2","(0&#8211;5)","0","1","1"
"1","1","(< 1&#8211;3)","21","34","(29&#8211;38)","204","240","(210&#8211;280)","53","169","192"
"< 1","< 1","(< 1&#8211;3)","8","17","(2&#8211;48)","3","3","(0&#8211;6)","0","2","2"
"0","0","(0&#8211;41)","&#8211;","0","(0&#8211;0)","1","0","(0&#8211;3)","0","0","0"
"&#8211;","5","(3&#8211;6)","&#8211;","24","(20&#8211;27)","83","1 100","(890&#8211;1 400)","20","83","145"
"< 1","2","(1&#8211;3)","6","21","(16&#8211;29)","1 233","8 500","(6 900&#8211;10 000)","2 729","615","2 262"
"1","3","(2&#8211;3)","5","14","(10&#8211;19)","951","1 900","(1 600&#8211;2 300)","0","951","951"
"< 1","< 1","(< 1&#8211;2)","1","3","(< 1&#8211;9)","15","20","(9&#8211;31)","0","15","15"
"< 1","4","(3&#8211;5)","2","23","(17&#8211;30)","207","5 100","(4 100&#8211;6 100)","997","207","948"
"< 1","&#8211;","(NA&#8211;NA)","5","&#8211;","(NA&#8211;NA)","5 908","&#8211;","(NA&#8211;NA)","4 402","4 443","6 926"
"< 1","4","(3&#8211;6)","5","22","(18&#8211;26)","5 908","71 000","(47 000&#8211;94 000)","4 402","4 443","6 926"
