"year","var","best","lo","hi","c_newinc_100k"
1990,"Incidence and notification",161.745727539062,146.554656982422,177.673889160156,58.374996554263
1990,"Mortality (excluding HIV)",21.5260143280029,19.5085849761963,23.6412487030029,NA
1990,"Prevalence",260.533294677734,236.457809448242,285.756103515625,NA
1991,"Incidence and notification",157.088485717773,145.309310913086,169.319473266602,48.9424384240751
1991,"Mortality (excluding HIV)",20.5352096557617,18.5202980041504,22.6526565551758,NA
1991,"Prevalence",256.233551025391,232.655715942383,280.929931640625,NA
1992,"Incidence and notification",152.481201171875,142.863510131836,162.407287597656,47.8751419232842
1992,"Mortality (excluding HIV)",19.5419464111328,17.5222721099854,21.6701316833496,NA
1992,"Prevalence",251.711456298828,228.331008911133,276.212310791016,NA
1993,"Incidence and notification",147.939453125,140.11213684082,155.976165771484,45.0505842373838
1993,"Mortality (excluding HIV)",18.6689205169678,16.6462955474854,20.8058643341064,NA
1993,"Prevalence",246.887481689453,223.693344116211,271.206420898438,NA
1994,"Incidence and notification",143.550399780273,135.387802124023,151.948120117188,44.886788502756
1994,"Mortality (excluding HIV)",17.7977981567383,15.7781429290771,19.9372482299805,NA
1994,"Prevalence",241.935989379883,218.955795288086,266.043579101562,NA
1995,"Incidence and notification",139.359283447266,129.949722290039,149.092529296875,50.6003902397016
1995,"Mortality (excluding HIV)",16.9126968383789,14.8732347488403,19.0812759399414,NA
1995,"Prevalence",236.872039794922,213.952407836914,260.938262939453,NA
1996,"Incidence and notification",135.47705078125,126.725044250488,144.516799926758,53.0742074255894
1996,"Mortality (excluding HIV)",15.9393062591553,13.8890752792358,18.1285095214844,NA
1996,"Prevalence",231.657302856445,208.88818359375,255.584426879883,NA
1997,"Incidence and notification",131.850463867188,124.362174987793,139.554290771484,52.477186960164
1997,"Mortality (excluding HIV)",14.8513231277466,12.7908477783203,17.0634613037109,NA
1997,"Prevalence",226.264099121094,203.614288330078,250.088394165039,NA
1998,"Incidence and notification",128.4033203125,122.469184875488,134.475677490234,49.9009251698217
1998,"Mortality (excluding HIV)",14.0642337799072,11.9798231124878,16.3133640289307,NA
1998,"Prevalence",220.735260009766,198.153717041016,244.514831542969,NA
1999,"Incidence and notification",124.909660339355,119.555671691895,130.379089355469,48.6983263731695
1999,"Mortality (excluding HIV)",13.3164234161377,11.168155670166,15.6508264541626,NA
1999,"Prevalence",214.770629882812,192.165618896484,238.611694335938,NA
2000,"Incidence and notification",121.687240600586,116.451950073242,127.035919189453,46.3384563301988
2000,"Mortality (excluding HIV)",12.3190269470215,10.5638132095337,14.2071952819824,NA
2000,"Prevalence",208.471160888672,185.743133544922,232.489181518555,NA
2001,"Incidence and notification",118.555465698242,113.942291259766,123.258766174316,47.1169677793146
2001,"Mortality (excluding HIV)",11.5670824050903,10.1598443984985,13.0643281936646,NA
2001,"Prevalence",201.857055664062,180.200637817383,224.722015380859,NA
2002,"Incidence and notification",115.409690856934,111.429428100586,119.458770751953,47.2032107922131
2002,"Mortality (excluding HIV)",10.9621868133545,9.89054775238037,12.0882272720337,NA
