"country","iso2","iso3","g_whoregion","c_tot_newrel_100k","cat"
"American Samoa","AS","ASM","WPR",NA,NA
"Australia","AU","AUS","WPR",5.57472339719219,"0–9"
"Brunei Darussalam","BN","BRN","WPR",58.946530887497,"50–99"
"China","CN","CHN","WPR",64.6770530185328,"50–99"
"Cook Islands","CK","COK","WPR",4.87258198119183,"0–9"
"Fiji","FJ","FJI","WPR",24.0070786586216,"10–49"
"Micronesia (Federated States of)","FM","FSM","WPR",139.271724938343,"100–199"
"Guam","GU","GUM","WPR",41.7664762606719,"10–49"
"China, Hong Kong SAR","HK","HKG","WPR",67.2729203204088,"50–99"
"Japan","JP","JPN","WPR",16.3906078712765,"10–49"
"Cambodia","KH","KHM","WPR",262.925871224919,">199"
"Kiribati","KI","KIR","WPR",343.301649038557,">199"
"Republic of Korea","KR","KOR","WPR",89.1828718847905,"50–99"
"Lao People's Democratic Republic","LA","LAO","WPR",61.1662024906757,"50–99"
"China, Macao SAR","MO","MAC","WPR",63.2203210227324,"50–99"
"Marshall Islands","MH","MHL","WPR",266.387593949196,">199"
"Mongolia","MN","MNG","WPR",147.613932352197,"100–199"
"Northern Mariana Islands","MP","MNP","WPR",60.0318919425945,"50–99"
"Malaysia","MY","MYS","WPR",74.73000873087,"50–99"
"New Caledonia","NC","NCL","WPR",15.010566648891,"10–49"
"Niue","NU","NIU","WPR",0,"0–9"
"Nauru","NR","NRU","WPR",NA,NA
"New Zealand","NZ","NZL","WPR",6.56972473526027,"0–9"
"Philippines","PH","PHL","WPR",224.003979700944,">199"
"Palau","PW","PLW","WPR",19.2733930808519,"10–49"
"Papua New Guinea","PG","PNG","WPR",286.828119397071,">199"
"French Polynesia","PF","PYF","WPR",18.2605710445777,"10–49"
"Singapore","SG","SGP","WPR",43.3883736506423,"10–49"
"Solomon Islands","SB","SLB","WPR",65.6843729416774,"50–99"
"Tokelau","TK","TKL","WPR",NA,NA
"Tonga","TO","TON","WPR",10.4820804070859,"10–49"
"Tuvalu","TV","TUV","WPR",192.697768762677,"100–199"
"Viet Nam","VN","VNM","WPR",112.463390226917,"100–199"
"Vanuatu","VU","VUT","WPR",50.5536637251175,"50–99"
"Wallis and Futuna Islands","WF","WLF","WPR",NA,NA
"Samoa","WS","WSM","WPR",11.6470519723224,"10–49"
