"area","c_notified","tot_newrel_100k","new_sp","new_sn","new_su","new_ep","new_oth","new_labconf2","newpulm_lab_pct","ret_rel","ret_nrel","c_newinc"
"American Samoa",,,,,,,,,"--",,,
"Australia","1 325","6","290","330","78","498","63","667","96","26","20","1 305"
"Brunei Darussalam","243","59","119","51","28","31","0","166","84","14","0","243"
"Cambodia","40 258","270","14 838","8 509","0","15 290","0","14 838","64","446","73","40 185"
"China","900 678","65","316 332","533 977","2 073","6 479","0","316 332","37","31 784","10 033","890 645"
"Hong Kong Special Administrative Region (China)","4 969","67","1 463","2 004","202","817","0","2 704","74","323","160","4 809"
"Macao Special Administrative Region (China)","406","73","156","137","2","31","0","241","82","26","2","404"
"Cook Islands","1","5","0","0","0","0","0","0","--","1","0","1"
"Fiji","218","24","111","54","0","40","0","165","100","5","8","210"
"French Polynesia","50","18","26","10","0","8","0","33","92","6","0","50"
"Guam","68","42","23","23","14","8","0","31","52","0","0","68"
"Japan","21 283","16","7 663","7 454","221","4 609","0","13 013","85","910","426","20 857"
"Kiribati","348","343","134","122","0","73","9","134","52","8","2","346"
"Lao People's Democratic Republic","4 156","62","3 062","484",,"351",,"3 062","86","168","38","4 118"
"Malaysia","22 710","75","13 311","4 941","52","2 945","0","13 311","73","602","859","21 851"
"Marshall Islands","147","276","54","39","14","29","0","54","50","4","2","145"
"Micronesia, Federated States of","146","139","43","75","2","22","0","58","48","2","2","144"
"Mongolia","4 453","148","1 716","617","0","1 611","0","1 716","74","184","325","4 128"
"Nauru",,,,,,,,,"--",,,
"New Caledonia","38","15","13","11","0","12","1","24","100","1","0","38"
"New Zealand","297","7","68","88","11","112","3","143","86","11","4","293"
"Niue","0","0","0","0","0","0","0","0","--","0","0","0"
"Northern Mariana Islands","34","60","10","17","0","4","1","15","56","0","2","32"
"Palau","4","19","3","1","0","0","0","3","75","0","0","4"
"Papua New Guinea","22 488","287","2 862","2 046","7 149","8 277","0","2 862","24","223","1 931","20 557"
"Philippines","230 162","224","94 006","115 263","0","3 274","0","94 006","45","4 084","13 535","216 627"
"Republic of Korea","49 532","89","12 137","15 622","3 316","8 470","0","28 397","91","4 157","5 830","43 702"
"Samoa","22","12","15","4","0","3","0","19","100","0","0","22"
"Singapore","2 364","43","678","1 093","126","306","0","1 206","64","98","63","2 301"
"Solomon Islands","372","66","157","87","0","112","0","157","64","5","11","361"
"Tokelau",,,,,,,,,"--",,,
"Tonga","11","10","9","1","0","1","0","10","100","0","0","11"
"Tuvalu","20","193","8","2","0","9","0","9","90","0","1","19"
"Vanuatu","126","51","51","22","0","51","0","73","100","1","1","125"
"Viet Nam","103 906","112","51 033","21 706",,"18 904","3 210","51 033","70","7 259","1 794","102 112"
"Wallis and Futuna Islands",,,,,,,,,"--",,,
"Western Pacific Region
","1 410 835","75","520 391","714 790","13 288","72 377","3 287","544 482","44","50 348","35 122","1 375 713"
